ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
HOTEL OPARA,"Goliev trg 13, 8210 Trebnje",TREBNJE,0,3.5,DA,NE,NE,NE,NE
HOTEL PAKA,"Rudarska cesta 1, 3320 Velenje",VELENJE,0,3.87,NE,NE,NE,NE,NE
HOTEL SLOVENJ GRADEC,"Glavni trg 43, 2380 Slovenj Gradec",SLOVENJ GRADEC,5,1.87,DA,NE,NE,NE,NE
HOTSPOT BAR&BISTRO,"Kardeljeva ploščad 17, 1000 Ljubljana",LJUBLJANA,4,3.07,DA,NE,NE,NE,DA
HOTSPOT CENTER BAR&BISTRO,"Nazorjeva 6, 1000 Ljubljana",LJUBLJANA,4,3.67,NE,NE,NE,NE,NE
HUANG'S KITAJSKA RESTAVRACIJA,"Kolodvorska ulica 20, 1000 Ljubljana",LJUBLJANA,0,4.17,DA,DA,NE,DA,NE
ITALIJANSKA RESTAVRACIJA MIRJE,"Tržaška cesta 5, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,DA,NE,DA,NE
JAPONSKA RESTAVRACIJA MOYSUSHI,"Mestni trg 17, 1000 Ljubljana",LJUBLJANA,4,3.87,DA,NE,NE,DA,NE
JET BAR,"Šubičeva 1, 1000 Ljubljana",LJUBLJANA,4,3.4,DA,DA,NE,NE,NE
JOE PENA'S CANTINA Y BAR,"Cankarjeva cesta 6, 1000 Ljubljana",LJUBLJANA,5,4.37,DA,NE,NE,DA,NE
K16,"Aškrčeva 2, 1000 Ljubljana",LJUBLJANA,4,0.0,DA,NE,NE,NE,NE
KAMPUS PIZZA,"Pivovarniška ulica 6, 1000 Ljubljana",LJUBLJANA,5,2.5,NE,DA,NE,NE,NE
KANAPE,"Gosposvetska cesta 15, 2000 Maribor",MARIBOR,4,0.0,DA,DA,NE,NE,NE
KAPITAL,"Kardeljeva ploščad , 1000 Ljubljana",LJUBLJANA,4,2.7,DA,NE,NE,NE,DA
KARANTANIJA,"Drulovka 40, 4000 Kranj",KRANJ,0,2.4,DA,DA,NE,DA,NE
KAVARNA FILOZOF,"Borštnikov trg 2, 1000 Ljubljana",LJUBLJANA,4,0.0,DA,NE,NE,NE,DA
KAVARNA IN RESTAVRACIJA NOVA GORICA,"Delpinova 16, 5000 Nova Gorica",NOVA GORICA,0,3.87,DA,DA,NE,NE,NE
KAVARNA IN SENDVIČARNA FERI,"Smetanova ulica 17, 2000 Maribor",MARIBOR,5,0.0,NE,DA,NE,NE,NE
KAVARNA IN SLAŠČIČARNA CARNIOLA,"Gregorčičeva 2, 4000 Kranj",KRANJ,0,2.27,DA,DA,NE,DA,NE
KAVARNA IN SLAŠČIČARNA RENDEZ - VOUS,"Oprešnikova 28, 4000 Kranj",KRANJ,0,2.27,DA,NE,NE,DA,NE
KAVARNA NUK,"Turjaška 1, 1000 Ljubljana",LJUBLJANA,4,2.5,NE,NE,NE,NE,NE
KAVARNA STIL BURGER,"Koroška cesta 59, 2000 Maribor",MARIBOR,5,1.17,DA,DA,NE,DA,NE
KAVARNA STRIT,"Zdravstevna 5, 1000 Ljubljana",LJUBLJANA,5,1.9,DA,NE,NE,NE,DA
KITAJSKA PALAČA - DOSTAVA,"Focheva ulica 41, 2000 Maribor",MARIBOR,5,3.6,DA,NE,DA,DA,NE
KITAJSKA RESTAVRACIJA AZIJA,"Ptujska cesta 131 , 2000 Maribor",MARIBOR,5,3.5,DA,DA,NE,NE,NE
KITAJSKA RESTAVRACIJA AZIJA,"Gosposvetska ulica 1, 4000 Kranj",KRANJ,4,2.9,DA,NE,NE,DA,NE
KITAJSKA RESTAVRACIJA BELI LABOD,"Masarykova 17, 1000 Ljubljana",LJUBLJANA,5,3.2,DA,NE,NE,NE,NE
KITAJSKA RESTAVRACIJA BELI LABOD - DOSTAVA,"Masarykova 17, 1000 Ljubljana",LJUBLJANA,4,4.0,DA,NE,DA,DA,NE
